Altium Designer Pick and Place Locations
D:\Radio\Jobe\Universal_Driver\Universal_Driver_hard\Universal_Driver v3_ft\Project Outputs for tester\Pick Place\Pick Place for tester.txt

========================================================================================================================
File Design Information:

Date:       03.11.22
Time:       16:57
Revision:   796121f55f5f29e8efe7a13d6b7f7da2b770dabe
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                            
X3         25Mhz              TopLayer XTAL_3.2_2.5             1406.496      3214.567      270      ""                                                                                                                                     
C7         "0603 18 пФ"       TopLayer CAPCHIP0603              1408.465      3336.614      180      "Керамическтй конденсатор SMD C0603"                                                                                                   
C2         "0603 18 пФ"       TopLayer CAPCHIP0603              1518.701      3187.008      270      "Керамическтй конденсатор SMD C0603"                                                                                                   
X2         12Mhz              TopLayer XTAL_3.2_2.5             1838.583      3085.630      0        ""                                                                                                                                     
R84        "0603 0"           TopLayer RESCHIP0603              2539.370      1925.197      270      Резистор                                                                                                                               
R83        "0603 220 Ом"      TopLayer RESCHIP0603              885.827       2282.480      180      "Резистор SMD R0603"                                                                                                                   
R82        "0603 220 Ом"      TopLayer RESCHIP0603              914.370       2431.102      180      "Резистор SMD R0603"                                                                                                                   
R81        "0402 NC"          TopLayer Resistor_0402            466.535       2022.216      360      ""                                                                                                                                     
R80        "0402 0"           TopLayer Resistor_0402            466.535       2144.685      360      ""                                                                                                                                     
R79        "0402 NC"          TopLayer Resistor_0402            682.087       2022.216      180      ""                                                                                                                                     
R78        "0402 NC"          TopLayer Resistor_0402            682.087       2144.685      180      ""                                                                                                                                     
R77        "0402 0"           TopLayer Resistor_0402            589.567       2022.216      360      ""                                                                                                                                     
R76        "0402 NC"          TopLayer Resistor_0402            589.567       2144.685      360      ""                                                                                                                                     
R75        "0402 NC"          TopLayer Resistor_0402            466.535       1777.278      360      ""                                                                                                                                     
R74        "0402 0"           TopLayer Resistor_0402            466.535       1899.747      360      ""                                                                                                                                     
R73        "0402 NC"          TopLayer Resistor_0402            682.087       1777.278      180      ""                                                                                                                                     
2          NC                 TopLayer TSOT23-5L                2661.417      1812.008      90       "Linear Voltage Regulator IC 1 Output 300mA TSOT-5"                                                                                    
